       Freq,     Re(Av),     Im(Av),     Re(Ai),     Im(Ai),     Re(Ap),     Im(Ap),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout)
         Hz,           ,           ,           ,           ,         dB,         dB,          V,          V,          V,          V,          A,          A,          A,          A,       Ohms,       Ohms,       Ohms,       Ohms,          W,          W,          W,          W
  1.000e+01,  1.000e+00, -3.996e-05,  1.000e+00, -3.990e-05,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  5.000e+01,  3.142e-06,  5.000e+01,  3.142e-06,        nan,        nan,        nan,        nan
  4.017e+04,  9.873e-01, -1.595e-01,  9.870e-01, -1.603e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.999e+01, -3.850e-02,  4.999e+01, -3.850e-02,        nan,        nan,        nan,        nan
  8.033e+04,  9.509e-01, -3.135e-01,  9.462e-01, -3.197e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.988e+01, -3.668e-01,  4.988e+01, -3.668e-01,        nan,        nan,        nan,        nan
  1.205e+05,  8.953e-01, -4.593e-01,  8.729e-01, -4.746e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.936e+01, -1.183e+00,  4.936e+01, -1.183e+00,        nan,        nan,        nan,        nan
  1.607e+05,  8.252e-01, -5.984e-01,  7.625e-01, -6.153e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.800e+01, -2.479e+00,  4.800e+01, -2.479e+00,        nan,        nan,        nan,        nan
  2.008e+05,  7.424e-01, -7.369e-01,  6.155e-01, -7.268e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.536e+01, -3.931e+00,  4.536e+01, -3.931e+00,        nan,        nan,        nan,        nan
  2.410e+05,  6.423e-01, -8.851e-01,  4.428e-01, -7.927e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.123e+01, -4.902e+00,  4.123e+01, -4.902e+00,        nan,        nan,        nan,        nan
  2.811e+05,  5.074e-01, -1.056e+00,  2.652e-01, -8.041e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.584e+01, -4.669e+00,  3.584e+01, -4.669e+00,        nan,        nan,        nan,        nan
  3.213e+05,  2.940e-01, -1.255e+00,  1.057e-01, -7.655e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.986e+01, -2.782e+00,  2.986e+01, -2.782e+00,        nan,        nan,        nan,        nan
  3.615e+05, -8.635e-02, -1.439e+00, -1.995e-02, -6.928e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.402e+01,  7.481e-01,  2.402e+01,  7.481e-01,        nan,        nan,        nan,        nan
  4.016e+05, -6.969e-01, -1.397e+00, -1.079e-01, -6.048e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.887e+01,  5.552e+00,  1.887e+01,  5.552e+00,        nan,        nan,        nan,        nan
  4.418e+05, -1.201e+00, -8.474e-01, -1.627e-01, -5.160e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.464e+01,  1.115e+01,  1.464e+01,  1.115e+01,        nan,        nan,        nan,        nan
  4.819e+05, -1.142e+00, -1.917e-01, -1.926e-01, -4.348e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.131e+01,  1.714e+01,  1.131e+01,  1.714e+01,        nan,        nan,        nan,        nan
  5.221e+05, -8.328e-01,  1.281e-01, -2.052e-01, -3.645e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  8.749e+00,  2.323e+01,  8.749e+00,  2.323e+01,        nan,        nan,        nan,        nan
  5.623e+05, -5.731e-01,  2.203e-01, -2.070e-01, -3.055e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.809e+00,  2.927e+01,  6.809e+00,  2.927e+01,        nan,        nan,        nan,        nan
  6.024e+05, -3.994e-01,  2.268e-01, -2.022e-01, -2.568e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  5.341e+00,  3.517e+01,  5.341e+00,  3.517e+01,        nan,        nan,        nan,        nan
  6.426e+05, -2.864e-01,  2.072e-01, -1.938e-01, -2.168e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.228e+00,  4.091e+01,  4.228e+00,  4.091e+01,        nan,        nan,        nan,        nan
  6.827e+05, -2.113e-01,  1.821e-01, -1.836e-01, -1.841e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.379e+00,  4.648e+01,  3.379e+00,  4.648e+01,        nan,        nan,        nan,        nan
  7.229e+05, -1.598e-01,  1.579e-01, -1.726e-01, -1.572e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.726e+00,  5.189e+01,  2.726e+00,  5.189e+01,        nan,        nan,        nan,        nan
  7.631e+05, -1.235e-01,  1.366e-01, -1.616e-01, -1.351e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.219e+00,  5.715e+01,  2.219e+00,  5.715e+01,        nan,        nan,        nan,        nan
  8.032e+05, -9.723e-02,  1.184e-01, -1.510e-01, -1.168e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.822e+00,  6.229e+01,  1.822e+00,  6.229e+01,        nan,        nan,        nan,        nan
  8.434e+05, -7.775e-02,  1.030e-01, -1.409e-01, -1.016e-01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.509e+00,  6.730e+01,  1.509e+00,  6.730e+01,        nan,        nan,        nan,        nan
  8.835e+05, -6.303e-02,  8.997e-02, -1.315e-01, -8.878e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.259e+00,  7.222e+01,  1.259e+00,  7.222e+01,        nan,        nan,        nan,        nan
  9.237e+05, -5.171e-02,  7.899e-02, -1.228e-01, -7.801e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.058e+00,  7.705e+01,  1.058e+00,  7.705e+01,        nan,        nan,        nan,        nan
