       Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
         Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,          W,          W,       Ohms,       Ohms,       Ohms,       Ohms,           ,           ,           ,           
  1.000e+01,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01, -1.592e+05,  6.200e+01, -1.592e+05,  1.224e-07,  3.142e-04,  1.000e+00,  0.000e+00
  2.041e+05,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  8.039e+02,  6.200e+01,  8.039e+02,  4.768e-03, -6.183e-02,  1.000e+00,  0.000e+00
  4.082e+05,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  1.620e+03,  6.200e+01,  1.620e+03,  1.180e-03, -3.083e-02,  1.000e+00,  0.000e+00
  6.123e+05,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  2.432e+03,  6.200e+01,  2.432e+03,  5.236e-04, -2.054e-02,  1.000e+00,  0.000e+00
  8.163e+05,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  3.245e+03,  6.200e+01,  3.245e+03,  2.943e-04, -1.540e-02,  1.000e+00,  0.000e+00
  1.020e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  4.057e+03,  6.200e+01,  4.057e+03,  1.883e-04, -1.232e-02,  1.000e+00,  0.000e+00
  1.224e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  4.869e+03,  6.200e+01,  4.869e+03,  1.307e-04, -1.027e-02,  1.000e+00,  0.000e+00
  1.429e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  5.681e+03,  6.200e+01,  5.681e+03,  9.605e-05, -8.801e-03,  1.000e+00,  0.000e+00
  1.633e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  6.493e+03,  6.200e+01,  6.493e+03,  7.353e-05, -7.700e-03,  1.000e+00,  0.000e+00
